# Server version 0.08 running on 192.168.2.64:8123
# Game ID: 1
# Board class: omweso.CCBoard
# Timeout: 2000
# First Move Timeout: 60000
# Date: Tue Mar 24 22:40:21 EDT 2015
# Player 1: Player-0, 'random', running on 192.168.2.64
# Player 2: Player-1, 'random', running on 192.168.2.64
START Player-0 random
START Player-1 random
INIT 0 true 5,0,5,3,2,3,2,0,1,0,1,3,2,0,1,4
INIT 1 true 5,3,8,1,4,4,4,3,0,0,0,0,0,0,0,0
PIT 0 0
PIT 1 7
PIT 0 12
PIT 1 2
PIT 0 14
PIT 1 4
PIT 0 4
PIT 1 1
PIT 0 12
PIT 1 5
PIT 0 9
PIT 1 10
PIT 0 2
PIT 1 0
PIT 0 6
PIT 1 2
PIT 0 1
PIT 1 6
PIT 0 2
PIT 1 3
PIT 0 12
PIT 1 5
PIT 0 10
PIT 1 4
PIT 0 6
PIT 1 7
PIT 0 3
PIT 1 13
PIT 0 5
PIT 1 10
PIT 0 11
PIT 1 12
PIT 0 14
GAMEOVER WINNER 0
# Game ended: Tue Mar 24 22:40:21 EDT 2015
